Judge Name:,Aslan Tashtanov,,,,,,,"See criteria descriptions on the right
--------------> ",Judging Rubric and Descriptions,,,,,,,,,
Track to Assess:,Defi,,,,,,,,,,,,,,,,,
Airtable View URL:,,,,,,,,,,,,,,,,,,
"Project
Name","Concept /
Idea
(0-10)","Technical Functionality and Implementation
(0-10)","Complexity and sophistication
(0-10)","Real-world utility and impact
(0-10)",Sum,"Sum / 
40",Avg,"Comments / Feedback
(May be shared with participants)",,Description,,,,Key Questions ,,,,Scoring Suggestions
Robobo,5,7,5,5,22.00,55%,5.50,,Creative Innovation and Novelty,"Judges assess the originality, creativity, novelty, and the innovative potential of the idea. Concepts can gain points for being unique, forward-thinking, ambitious, and distinctly original (either within the Sui ecosystem or the broader web3 space). The justification for the concept can be based on creativity, impact, or innovation rather than strictly on business viability.

Teams are evaluated on the strength and uniqueness of their idea rather than its execution or completion.

A strong score in this category can be achieved by excelling in one or more of these areas. An idea does not need to excel across all aspects to score a 10—it simply needs to demonstrate outstanding creativity or originality in some way. For example, a novel approach to gamified education does not need to have widespread real-world impact to score a 10. Similarly, a groundbreaking decentralized art project does not need immediate practical applications to achieve a high score.


",,,,"- How original is the idea within the context of the tech industry, web3, and the Sui ecosystem?
- How well does the team articulate and understand their concept? Is the explanation clear, concise, and well-structured, or does it feel sprawling or disorganized?
- How thoughtfully crafted is the strategy behind the idea? Is it targeted, ambitious, or well-defined, with a clear direction that the team is pursuing?
- How much consideration has been given to the business viability of the idea as a product or service?
- To what extent does the idea account for its position in the Sui ecosystem? Does it leverage composability, interoperability, or other unique ecosystem strengths?
- What potential social impact could this idea achieve if fully realized? What degree of impact could it have if only partially realized?
- Finally, what is the overall quality and innovation level of the idea?",,,,"0-3 (poor): The idea lacks originality or is poorly explained. There is minimal innovation, no clear creative strategy, or the concept feels derivative. The arguments might be unconvincing or incoherent, with no meaningful connection to the Sui ecosystem or the broader tech industry.
"
Bullcast: AI-driven bullish price prediction for next-gen DeFAI automation. 🚀,4,3,3,3,13.00,33%,3.25,,,,,,,,,,,
Dynamic NFT Companion Agent,4,3,3,3,13.00,33%,3.25,,,,,,,,,,,
Apocalyptic World,5,6,4,6,21.00,53%,5.25,,,,,,,,,,,
snowfish agent,4,3,3,4,14.00,35%,3.50,,,,,,,,,,,"3-6 (mediocre): The idea shows some originality or creativity but lacks clarity, focus, or depth. Key components may be underdeveloped or not fully justified, and the team may struggle to demonstrate a cohesive strategy or vision. The idea may consider the Sui ecosystem or web3 but does so in a limited or unconvincing manner.
"
DeepSynth,3,3,3,3,12.00,30%,3.00,,,,,,,,,,,
Toby,3,3,3,3,12.00,30%,3.00,,,,,,,,,,,
[Alberta] - Cybersecurity AI Assistant,5,5,4,4,18.00,45%,4.50,,,,,,,,,,,
Suikai,4,3,3,3,13.00,33%,3.25,,,,,,,,,,,"7-9 (good): The idea is original, thoughtfully articulated, and demonstrates clear creative innovation. The team has a coherent strategy and can explain the concept with clarity and depth. It shows consideration of its role in the Sui ecosystem, along with potential real-world relevance. While not all aspects are exceptional, the idea displays a strong level of creativity and novelty."
@suiware/ai-tools,5,5,4,6,20.00,50%,5.00,,,,,,,,,,,
SuiZa,6,6,6,7,25.00,63%,6.25,,,,,,,,,,,
Marea AI,4,4,5,4,17.00,43%,4.25,,,,,,,,,,,
BackHack.dev,6,5,6,7,24.00,60%,6.00,,,,,,,,,,,"10 (exceeding): The idea is highly innovative, groundbreaking, or exceptionally creative. It demonstrates an original approach that is either bold or highly refined, with clear potential for significant impact in the Sui ecosystem or the broader web3 landscape. Not all aspects need to excel, but the concept must display remarkable quality in creativity or innovation that justifies a perfect score."
Foam,7,7,5,7,26.00,65%,6.50,,,,,,,,,,,
Mitsui Protocol,6,8,7,7,28.00,70%,7.00,,,,,,,,,,,
SuiSpark,5,3,3,4,15.00,38%,3.75,,,,,,,,,,,
Rockee,5,4,4,4,17.00,43%,4.25,,Technical Functionality and Implementation,"Judges will evaluate the agent's concept and implementation, focusing on the quality of execution, functionality, and overall usability. This category assesses how well the technical aspects of the agent have been implemented, including its performance, design quality, and reliability. While not all factors are required for a top score, exceptional technical execution or a seamless user interaction experience can significantly enhance the score.
The completeness and sophistication of the implementation of the project. How much of the project is implemented? How much of the implementation is correct? How innovative is the usage of Sui features? While functionality and technical correctness are important, an agent with a well-crafted interface or an elegantly designed interaction flow can score highly, even if some technical components are incomplete or experimental.                                                                                                                                                                                                                                                                        ",,,,"- To what extent has the idea been executed? Does the product resemble a basic prototype, a minimum viable product (MVP), a polished version 1.0, or a highly refined and optimized solution?
- How well-designed is the agent? Is it engaging? Does the implementation with Sui enhance the overall experience and make the product enjoyable to use?
- How functional is the agent?
- Was there creative usage towards the functionality of the agent and the technical involvement?",,,,"0-3 (poor): No agent has been developed, or the agent is minimally functional or incomplete. It does not perform its intended tasks effectively, and there is no clear effort toward usability or interaction design.
"
Nixora,4,4,4,4,16.00,40%,4.00,,,,,,,,,,,
ASTRA,7,8,7,8,30.00,75%,7.50,,,,,,,,,,,
Numeron,5,5,5,4,19.00,48%,4.75,,,,,,,,,,,"3-6 (mediocre): The agent is functional but lacks polish or usability, making it difficult or frustrating to interact with. There may be some effort in crafting interactions or user flows, but these decisions are ineffective or incomplete. The agent feels more like a proof of concept than a fully realized system. It performs basic tasks but lacks depth or reliability.
"
SuiMind,4,3,3,3,13.00,33%,3.25,,,,,,,,,,,
Cyper,5,6,5,4,20.00,50%,5.00,,,,,,,,,,,
Dominion Protector,5,3,3,4,15.00,38%,3.75,,,,,,,,,,,"7-9 (good): The agent is well-designed, user-friendly, and functional. It delivers on its core promises effectively, though there may be minor issues such as occasional errors, incomplete workflows, or missing features. The interaction design and user experience are intentional and cohesive, though not necessarily groundbreaking.
"
Memento OS,5,5,3,3,16.00,40%,4.00,,,,,,,,,,,
Build-A-Bot: Where Life-Long AI Companions Are Made,5,5,4,4,18.00,45%,4.50,,,,,,,,,,,
The Jokepapa,3,4,4,3,14.00,35%,3.50,,,,,,,,,,,"10 (exceeding): An exceeding agent is a highly refined system that operates seamlessly and provides a delightful interaction experience. Its functionality is robust, its interface is thoughtfully designed, and its usability is a pleasure. The agent feels polished and complete, with potential for significant real-world impact or user adoption. It represents everything an agent should aspire to be.
"
Suiiii,5,3,4,4,16.00,40%,4.00,,,,,,,,,,,
NexusAI,4,4,4,4,16.00,40%,4.00,,,,,,,,,,,
Atoma Network n8n Community Node Integration,4,4,3,4,15.00,38%,3.75,,Solution complexity and sophistication,"Judges assess the completeness and sophistication of the implementation of the agent. How much of the functionality is implemented? How correct is the implementation? How innovative is the usage of Sui features within the agent?

Teams are judged on the technical implementation of the agent, as distinct from the concept or user experience. While usability and interface design are relevant in other categories, this section focuses on the technical execution. For example, a well-coded agent that effectively leverages Sui’s unique features, such as composability or low latency, would score higher than one with a basic or generic implementation.

Agents should have a roughly complete and correct implementation to achieve a top score, but innovation in using Sui-specific features can further elevate the score. This could include leveraging Sui’s object composability, Move language capabilities, zkSend, dynamic fields, or designing for Sui’s low gas fees, high throughput, and low latency. An agent that goes beyond basic functionality to creatively integrate these features demonstrates strong technical sophistication.",,,,"- How much of the agent’s functionality is completed?
- What is the overall code quality of the implementation?
- How correct and reliable is the implementation? Are there any obvious bugs or errors in the final version?
- How “finished” and maintainable is the agent? Could it be further developed or scaled with ease?
- Has the agent effectively leveraged Sui’s unique features to create capabilities that are only possible on Sui? Examples include object composability, dynamic fields, zkSend, or low-latency/high-throughput design.",,,,"0-3 (poor): A poor technical implementation is absent, completely incorrect, or critically broken. Core agent workflows do not function as intended. There is minimal or no testing, code quality is abysmal, and maintenance is either nonexistent or infeasible."
sui-agent-kit,4,3,4,4,15.00,38%,3.75,,,,,,,,,,,
IVAN AI,4,4,4,4,16.00,40%,4.00,,,,,,,,,,,"3-6 (mediocre): A mediocre technical implementation works, but with significant limitations. Core agent functionality exists but may be partially broken or implemented poorly. Some workflows may not function, and the implementation may be overly buggy or lack maintainability. An agent that minimally uses Sui features without innovation, or mimics standard approaches without leveraging Sui’s unique capabilities, falls into this category.
"
SUI AI COIN,4,4,4,3,15.00,38%,3.75,,,,,,,,,,,
BeforeLife,5,6,5,5,21.00,53%,5.25,,,,,,,,,,,
VCMilei,4,5,4,3,16.00,40%,4.00,,,,,,,,,,,
EverionAI,5,6,5,4,20.00,50%,5.00,,,,,,,,,,,"6-9 (good): A good technical implementation works well, with minor or rare bugs. The agent adheres to Sui conventions and best practices, with reasonable code quality and sufficient testing. Testing processes are automated, and the implementation demonstrates signs of maintainability. Clever or innovative use of Sui’s unique features, such as dynamic fields or zkSend, can elevate an otherwise standard implementation to this level. 
"
H2O Bounty,4,4,3,4,15.00,38%,3.75,,,,,,,,,,,
Agent Builder / 🤖 Ava the Portfolio Managing AI Agent,5,4,4,5,18.00,45%,4.50,,,,,,,,,,,
DeepBookAI,4,4,4,2,14.00,35%,3.50,,,,,,,,,,,
Flyfish agent,5,5,5,5,20.00,50%,5.00,,,,,,,,,,,
DexterAI,6,7,7,7,27.00,68%,6.75,,,,,,,,,,,
RIFT,5,7,5,4,21.00,53%,5.25,,,,,,,,,,,"10 (exceeding): An exceptional technical implementation is elegant, thoroughly tested, fully documented, and easy to maintain. The agent leverages Sui’s unique capabilities in creative ways that go beyond standard approaches, potentially showcasing use cases that even the ecosystem’s creators may not have anticipated. A truly exceeding implementation blends technical brilliance with innovation, setting a benchmark for quality and creativity.
"
OpenGraph : TensorflowSui,5,6,5,6,22.00,55%,5.50,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,Real-world utility and impact,"Judges assess the real-world utility and potential impact of the agent. How effectively does the agent address a meaningful problem? How relevant is the agent’s functionality in real-world scenarios? How well does it create tangible value for users or ecosystems?

Teams are judged on the agent's ability to provide a practical, scalable, and impactful solution. While technical implementation is considered in other categories, this section focuses on the real-world implications and benefits of the agent. For example, an agent that solves a widespread pain point or offers innovative solutions with clear utility would score higher than one with limited or niche use cases.

Agents should demonstrate a clear understanding of the problem they aim to solve and their broader implications for users or systems. Amplify their real-world relevance can elevate the score. An agent that aligns strongly with user needs while showcasing significant potential for adoption and scalability represents strong real-world utility and impact.",,,,"- At a high level, how effectively does this agent address real-world needs or challenges?
- Are there unique factors or attributes not captured in other criteria that significantly enhance the agent’s utility or merit?
- Does the agent integrate multiple aspects of functionality, design, or innovation in a way that strengthens its overall utility and impact?
- How scalable and adaptable is the agent for broader use cases or future development?
- How well does the agent balance technical innovation with practical, real-world application?",,,,"0-3 (poor): The agent has minimal or no real-world utility. It fails to address any meaningful problem or provide tangible value. The concept may lack scalability, clear use cases, or practical applications, and it doesn’t leverage Sui’s unique features in a meaningful way."
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,"3-6 (mediocre): The agent shows some potential for real-world utility but is limited in its scope, execution, or relevance. It may address a minor problem or niche use case but lacks scalability or broader applicability. While there may be some use of Sui’s features, it is either superficial or underwhelming."
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,"6-9 (good): The agent demonstrates clear real-world utility and effectively addresses a meaningful problem. It is scalable and relevant, with strong potential for adoption in the Sui ecosystem or beyond. The agent leverages Sui’s unique features, such as composability or low-latency design, in a thoughtful way to enhance its impact."
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,"10 (exceeding): The agent is a game-changing solution with exceptional real-world utility and impact. It addresses a significant problem or creates entirely new opportunities in a way that is scalable, relevant, and innovative. The agent fully capitalizes on Sui’s unique capabilities to deliver value that would be impossible otherwise. It sets a benchmark for what agents can achieve, with extraordinary potential for adoption and influence."
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,
,,,,,0.00,0%,#DIV/0!,,,,,,,,,,,